,SMW,SMFCF,K0,SOPE,KSUB,longitude,latitude
124,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-74.4,41.4
126,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-73.3,40.8
128,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-75.4,46.2
129,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-78.3,41.3
130,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-74.8,41.9
131,0.114223224,0.21998703600000002,0.88602856,138.696192,93.30471098,-82.8,37.5
134,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-77.0,44.5
135,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-76.8,45.1
136,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-84.8,38.6
137,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-81.4,44.3
138,0.037240447999999995,0.155676761,3.30655751,139.891008,94.10849629,-113.2,48.1
142,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-73.8,45.8
144,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-74.2,45.4
146,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-82.0,45.7
148,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-89.7,48.4
150,0.157938276,0.30971059100000004,0.40930554399999997,79.296768,53.34509847,-119.2,49.1
152,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-75.7,44.8
155,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-114.0,49.1
157,0.096444969,0.203907327,1.1584407840000002,139.46428799999998,93.82143011,-68.3,48.0
159,0.037240447999999995,0.155676761,3.30655751,139.891008,94.10849629,-109.8,45.0
164,0.042679845,0.153331381,3.012683117,146.035776,98.24224931,-123.8,46.0
167,0.133305705,0.255069218,0.633272342,118.725696,79.87001367,-122.6,47.8
172,0.133305705,0.255069218,0.633272342,118.725696,79.87001367,-122.1,44.1
174,0.086643593,0.223540178,1.421887794,112.239552,75.50660771,-80.8,44.4
175,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-114.2,48.2
176,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-99.5,46.9
177,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-98.0,46.7
180,0.121729757,0.252693627,0.757445032,110.70336,74.47316945,-96.6,35.3
182,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-97.6,49.1
184,0.174879807,0.314435217,0.29344030600000004,89.19667199999999,60.00503389,-87.0,32.3
186,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-97.6,46.7
188,0.133521956,0.262867326,0.629713978,110.191296,74.12869004,-110.3,40.8
191,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-101.5,49.1
194,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-105.7,39.0
197,0.169251695,0.31328096699999997,0.336745587,85.18550400000001,57.30661178,-97.2,48.2
199,0.157938276,0.30971059100000004,0.40930554399999997,79.296768,53.34509847,-110.3,46.9
200,0.157938276,0.30971059100000004,0.40930554399999997,79.296768,53.34509847,-113.2,48.5
201,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-96.1,46.2
204,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-110.0,42.7
206,0.156535356,0.27408846600000003,0.41471207,119.835168,80.61638575,-77.6,24.6
208,0.14005785199999998,0.282077639,0.560259515,95.000064,63.90913396,-98.2,45.5
211,0.19797701399999998,0.328004894,0.196815336,96.706944,65.05739869,-78.1,24.6
213,0.133557876,0.262928985,0.62931932,110.191296,74.12869004,-84.0,44.1
215,0.133557876,0.262928985,0.62931932,110.191296,74.12869004,-94.0,47.3
218,0.133557876,0.262928985,0.62931932,110.191296,74.12869004,-91.5,46.9
221,0.14215851699999998,0.28015930899999997,0.540844232,101.400864,68.21512669,-93.1,48.2
223,0.12788919,0.263938845,0.6796082059999999,104.04652800000001,69.99493702,-97.4,25.8
229,0.139657703,0.275795468,0.55367548,101.400864,68.21512669,-91.0,36.0
232,0.08979536,0.18962136100000002,1.357097138,148.25472,99.73499345,-88.0,31.4
235,0.18058422300000002,0.312735443,0.277343092,97.47504,65.57411782,-81.7,26.8
238,0.15240789,0.3093059,0.45015486899999996,75.2856,50.64667636,-83.5,43.4
241,0.15240789,0.3093059,0.45015486899999996,75.2856,50.64667636,-86.3,46.0
244,0.133557876,0.262928985,0.62931932,110.191296,74.12869004,-80.4,46.4
246,0.133557876,0.262928985,0.62931932,110.191296,74.12869004,-80.5,48.8
248,0.068672366,0.20222564899999998,1.945750824,119.40844799999999,80.32931956,-75.7,46.2
250,0.133557876,0.262928985,0.62931932,110.191296,74.12869004,-81.4,48.8
252,0.18098010399999997,0.331130794,0.257588816,74.00544000000001,49.78547782,-91.1,32.8
256,0.244176804,0.379609264,0.034002315,75.456288,50.76150284,-81.0,32.0
260,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-120.9,42.4
261,0.169251695,0.31328096699999997,0.336745587,85.18550400000001,57.30661178,-96.8,47.3
263,0.116494772,0.258691362,0.8275996659999999,100.291392,67.46875462,-116.6,49.0
265,0.169330343,0.31002906,0.329865336,89.452704,60.17727360000001,-96.0,48.5
267,0.168971765,0.30436791399999996,0.32561674,95.853504,64.48326633,-87.2,41.3
